"","UMAP_1","UMAP_2"
"human1_lib1.final_cell_0007",1.79508626492119,-9.37229945977456
"human1_lib1.final_cell_0013",10.7144894603024,-8.21620681603677
"human1_lib1.final_cell_0014",11.5022521022091,-8.60024574120767
"human1_lib1.final_cell_0015",1.79357028038597,-7.72693946679361
"human1_lib1.final_cell_0016",-15.8851046559086,0.99656185786002
"human1_lib1.final_cell_0017",1.10843730003929,-9.75702503045327
"human1_lib1.final_cell_0019",4.28862762482262,16.8944365708041
"human1_lib1.final_cell_0020",1.53142821819878,-10.1845286162687
"human1_lib1.final_cell_0021",1.66453909905053,-10.2912628920866
"human1_lib1.final_cell_0022",0.452508509469989,4.27789446989768
"human1_lib1.final_cell_0023",3.36208915741539,16.5174834458041
"human1_lib1.final_cell_0024",1.44807362587548,-11.184454229672
"human1_lib1.final_cell_0025",10.8642001155148,-7.96466281731851
"human1_lib1.final_cell_0026",-0.322796299742695,4.19074937979453
"human1_lib1.final_cell_0027",0.94277060062981,-10.8290398391081
"human1_lib1.final_cell_0030",1.16378688843346,-11.0786059172941
"human1_lib1.final_cell_0031",10.3678050044308,-8.64585807641275
"human1_lib1.final_cell_0032",11.1743502619991,-8.80161311944253
"human1_lib1.final_cell_0033",10.8499808314571,-8.60490730126626
"human1_lib1.final_cell_0034",10.6741576197872,-9.14624049981362
"human1_lib1.final_cell_0035",1.19096076519585,-10.6971152098966
"human1_lib1.final_cell_0037",1.97812557251549,-10.4781983168913
"human1_lib1.final_cell_0038",1.30180716545678,-10.0385678084684
"human1_lib1.final_cell_0039",1.3890233042965,-7.26977517922647
"human1_lib1.final_cell_0040",10.6957802775631,-8.09730174859292
"human1_lib1.final_cell_0041",-16.1396117207279,0.770257624785832
"human1_lib1.final_cell_0042",0.69825851948357,-10.5735609801603
"human1_lib1.final_cell_0043",10.8049645426998,-8.83330753167398
"human1_lib1.final_cell_0044",-15.9701218601932,0.646361405949525
"human1_lib1.final_cell_0045",-15.1393351551762,1.24459210316413
"human1_lib1.final_cell_0046",-15.9544386860599,0.641531436692408
"human1_lib1.final_cell_0048",-16.3749651905765,1.23882749954932
"human1_lib1.final_cell_0049",10.4412083628902,-9.03414752801187
"human1_lib1.final_cell_0050",0.0859572145471605,-11.0231936248136
"human1_lib1.final_cell_0051",11.0553603175411,-9.42123916466958
"human1_lib1.final_cell_0052",1.78831827671624,-10.2971203597379
"human1_lib1.final_cell_0054",1.91465544731713,-9.98038127740151
"human1_lib1.final_cell_0055",1.72695636780358,-9.10335090478189
"human1_lib1.final_cell_0056",-16.0862984654179,0.764920177857808
"human1_lib1.final_cell_0057",1.5856751206646,-9.91136958916909
"human1_lib1.final_cell_0058",1.41649401218987,-9.94299247582681
"human1_lib1.final_cell_0059",1.48123061688042,-9.44918754418618
"human1_lib1.final_cell_0060",1.87410986454583,-7.24183347543008
"human1_lib1.final_cell_0061",2.89525556595421,16.3368460861849
"human1_lib1.final_cell_0062",-0.645720660375592,4.16008732001059
"human1_lib1.final_cell_0063",1.94004392654991,-7.30327632745034
