"","refUMAP_1","refUMAP_2"
"mouse1_lib1.final_cell_0001",2.04737019538879,-7.36411380767822
"mouse1_lib1.final_cell_0002",4.17633533477783,17.0656833648682
"mouse1_lib1.final_cell_0003",11.295711517334,-8.52474498748779
"mouse1_lib1.final_cell_0004",-14.0145778656006,1.60119295120239
"mouse1_lib1.final_cell_0005",11.0551662445068,-8.59165954589844
"mouse1_lib1.final_cell_0006",2.0477089881897,-7.30994844436646
"mouse1_lib1.final_cell_0007",1.99646103382111,-7.42147445678711
"mouse1_lib1.final_cell_0008",2.06586337089539,-7.4651665687561
"mouse1_lib1.final_cell_0009",2.02933287620544,-7.33299398422241
"mouse1_lib1.final_cell_0010",3.83503532409668,16.6023578643799
"mouse1_lib1.final_cell_0011",5.0192346572876,15.050555229187
"mouse1_lib1.final_cell_0012",2.0316367149353,-7.37209558486938
"mouse1_lib1.final_cell_0013",2.0096218585968,-7.46981239318848
"mouse1_lib1.final_cell_0014",11.0368452072144,-9.22409820556641
"mouse1_lib1.final_cell_0015",-2.00046682357788,-9.92575931549072
"mouse1_lib1.final_cell_0016",3.87039589881897,14.6376123428345
"mouse1_lib1.final_cell_0017",-2.24474120140076,-9.62493705749512
"mouse1_lib1.final_cell_0018",-15.390022277832,3.21665859222412
"mouse1_lib1.final_cell_0019",5.28348064422607,14.3419342041016
"mouse1_lib1.final_cell_0020",4.08400011062622,16.728702545166
"mouse1_lib1.final_cell_0021",1.14979314804077,-7.73848819732666
"mouse1_lib1.final_cell_0022",2.10867691040039,-7.39420795440674
"mouse1_lib1.final_cell_0023",-2.14171767234802,-9.67044639587402
"mouse1_lib1.final_cell_0024",10.8892421722412,-8.97081089019775
"mouse1_lib1.final_cell_0025",-15.5793428421021,3.18765568733215
"mouse1_lib1.final_cell_0026",-17.844877243042,7.05001020431519
"mouse1_lib1.final_cell_0027",4.34057235717773,16.8161277770996
"mouse1_lib1.final_cell_0028",3.61856746673584,16.7123680114746
"mouse1_lib1.final_cell_0029",-2.16840887069702,-9.85379600524902
"mouse1_lib1.final_cell_0030",3.52542304992676,15.0093774795532
"mouse1_lib1.final_cell_0031",4.60482931137085,14.8982820510864
"mouse1_lib1.final_cell_0032",4.57175397872925,17.0809459686279
"mouse1_lib1.final_cell_0033",2.54376888275146,-7.12875318527222
"mouse1_lib1.final_cell_0034",2.06604146957397,-7.42725849151611
"mouse1_lib1.final_cell_0035",2.04512429237366,-7.41420316696167
"mouse1_lib1.final_cell_0036",3.59907054901123,16.7693862915039
"mouse1_lib1.final_cell_0037",4.97846412658691,14.4375267028809
"mouse1_lib1.final_cell_0038",3.47676682472229,14.6119804382324
"mouse1_lib1.final_cell_0039",11.5550689697266,-7.9101185798645
"mouse1_lib1.final_cell_0040",-1.96390748023987,-9.80629634857178
"mouse1_lib1.final_cell_0041",1.24513268470764,-7.66171216964722
"mouse1_lib1.final_cell_0042",3.83932161331177,16.7525291442871
"mouse1_lib1.final_cell_0043",11.0524253845215,-9.00592708587646
"mouse1_lib1.final_cell_0044",-18.0103015899658,6.8826265335083
"mouse1_lib1.final_cell_0045",-1.98233222961426,-9.76268482208252
"mouse1_lib1.final_cell_0046",1.72791707515717,-7.93518781661987
"mouse1_lib1.final_cell_0047",11.5921859741211,-8.6113748550415
"mouse1_lib1.final_cell_0048",2.8170371055603,14.4629173278809
"mouse1_lib1.final_cell_0049",2.04831790924072,-7.43802881240845
"mouse1_lib1.final_cell_0050",3.66222167015076,16.6992931365967
"mouse1_lib1.final_cell_0051",12.1824388504028,-8.82861709594727
"mouse1_lib1.final_cell_0052",1.11880791187286,-8.51869297027588
"mouse1_lib1.final_cell_0053",5.08237457275391,14.1507339477539
"mouse1_lib1.final_cell_0054",5.45700931549072,14.6043863296509
"mouse1_lib1.final_cell_0055",4.91262435913086,14.2532453536987
"mouse1_lib1.final_cell_0056",-0.223249956965446,-10.8590869903564
"mouse1_lib1.final_cell_0057",3.78686904907227,16.7267456054688
"mouse1_lib1.final_cell_0058",-17.963098526001,6.3463830947876
"mouse1_lib1.final_cell_0059",4.55368852615356,17.3979740142822
"mouse1_lib1.final_cell_0060",-0.506431579589844,-11.2940769195557
"mouse1_lib1.final_cell_0061",1.30181396007538,-7.49461078643799
"mouse1_lib1.final_cell_0062",5.28490877151489,14.6370429992676
"mouse1_lib1.final_cell_0063",4.27507734298706,17.1687068939209
"mouse1_lib1.final_cell_0064",-17.9671745300293,6.66269636154175
"mouse1_lib1.final_cell_0065",1.98555707931519,-7.2453761100769
"mouse1_lib1.final_cell_0066",2.00557112693787,-7.39993476867676
"mouse1_lib1.final_cell_0067",3.50987529754639,16.7887554168701
"mouse1_lib1.final_cell_0068",2.0303111076355,-7.26644420623779
"mouse1_lib1.final_cell_0069",-17.8613796234131,7.17762041091919
"mouse1_lib1.final_cell_0070",4.34507751464844,17.2851638793945
"mouse1_lib1.final_cell_0071",-2.06014132499695,-9.75827598571777
"mouse1_lib1.final_cell_0072",-1.57026219367981,-9.71047115325928
"mouse1_lib1.final_cell_0073",-18.1195678710938,6.69711351394653
"mouse1_lib1.final_cell_0074",0.490020841360092,-11.4572954177856
"mouse1_lib1.final_cell_0075",1.10640156269073,-10.7223978042603
"mouse1_lib1.final_cell_0076",5.10692882537842,14.3961896896362
"mouse1_lib1.final_cell_0077",2.04317355155945,-7.28327369689941
"mouse1_lib1.final_cell_0078",4.07197380065918,16.7656993865967
"mouse1_lib1.final_cell_0079",-15.0466966629028,3.41380429267883
"mouse1_lib1.final_cell_0080",-1.52888000011444,-12.9757137298584
"mouse1_lib1.final_cell_0081",4.77084255218506,14.4631986618042
"mouse1_lib1.final_cell_0082",3.70677804946899,14.9452981948853
"mouse1_lib1.final_cell_0083",11.0482397079468,-9.23520660400391
"mouse1_lib1.final_cell_0084",-0.410793662071228,5.57993793487549
"mouse1_lib1.final_cell_0085",3.17387747764587,14.9103374481201
"mouse1_lib1.final_cell_0086",-1.72798788547516,-9.91077136993408
"mouse1_lib1.final_cell_0087",2.43482041358948,16.1325492858887
"mouse1_lib1.final_cell_0088",4.36654996871948,16.5849456787109
"mouse1_lib1.final_cell_0089",1.91034841537476,-7.24686002731323
"mouse1_lib1.final_cell_0090",4.0729718208313,16.7920513153076
"mouse1_lib1.final_cell_0091",10.9681797027588,-9.19905948638916
"mouse1_lib1.final_cell_0092",-17.6544628143311,6.58237552642822
"mouse1_lib1.final_cell_0093",1.69893610477448,-7.16576671600342
"mouse1_lib1.final_cell_0094",-1.99875116348267,-9.8628511428833
"mouse1_lib1.final_cell_0095",4.73128795623779,17.191930770874
"mouse1_lib1.final_cell_0096",1.64279067516327,-7.46906232833862
"mouse1_lib1.final_cell_0097",1.90600967407227,-7.26502370834351
"mouse1_lib1.final_cell_0098",4.45433712005615,17.2572994232178
"mouse1_lib1.final_cell_0099",3.7623770236969,15.1166725158691
"mouse1_lib1.final_cell_0100",-17.8358364105225,7.24855709075928
"mouse1_lib1.final_cell_0101",1.66340970993042,-7.3950252532959
"mouse1_lib1.final_cell_0102",-17.8276824951172,7.23170948028564
"mouse1_lib1.final_cell_0103",1.27002441883087,-7.49984741210938
"mouse1_lib1.final_cell_0104",5.28921318054199,14.3783092498779
"mouse1_lib1.final_cell_0105",4.97695446014404,1.84130382537842
"mouse1_lib1.final_cell_0106",-0.728785574436188,5.50384140014648
"mouse1_lib1.final_cell_0107",-15.2108364105225,3.82925844192505
"mouse1_lib1.final_cell_0108",1.61654329299927,-7.64734649658203
"mouse1_lib1.final_cell_0109",-1.41618680953979,-10.1478271484375
"mouse1_lib1.final_cell_0110",-17.0144863128662,5.53921127319336
"mouse1_lib1.final_cell_0111",10.3116397857666,-8.55937576293945
"mouse1_lib1.final_cell_0112",5.01655197143555,1.80319917201996
"mouse1_lib1.final_cell_0113",-1.79207825660706,-9.62759304046631
"mouse1_lib1.final_cell_0114",1.29235398769379,-7.350013256073
"mouse1_lib1.final_cell_0115",-18.7212982177734,6.92249584197998
"mouse1_lib1.final_cell_0116",5.19397306442261,1.62148106098175
"mouse1_lib1.final_cell_0117",0.875358760356903,-7.69536781311035
"mouse1_lib1.final_cell_0118",1.82071661949158,-7.30269193649292
"mouse1_lib1.final_cell_0119",1.75060331821442,-7.53068113327026
"mouse1_lib1.final_cell_0120",-17.7173252105713,7.01576519012451
"mouse1_lib1.final_cell_0121",-1.20203626155853,-9.60394763946533
"mouse1_lib1.final_cell_0122",10.5413599014282,-9.26062870025635
"mouse1_lib1.final_cell_0123",-1.7774053812027,-9.57767486572266
"mouse1_lib1.final_cell_0124",5.14008855819702,1.67838561534882
"mouse1_lib1.final_cell_0125",1.81469309329987,-7.53385591506958
"mouse1_lib1.final_cell_0126",-14.8360900878906,3.66608095169067
"mouse1_lib1.final_cell_0127",3.70969772338867,14.8719987869263
"mouse1_lib1.final_cell_0128",10.5563068389893,-8.20427894592285
"mouse1_lib1.final_cell_0129",-1.39037561416626,-10.1378631591797
"mouse1_lib1.final_cell_0130",1.97014796733856,-7.34567165374756
"mouse1_lib1.final_cell_0131",1.46203112602234,-7.30771017074585
"mouse1_lib1.final_cell_0132",1.92191576957703,-7.30092716217041
"mouse1_lib1.final_cell_0133",5.20860290527344,14.3697834014893
"mouse1_lib1.final_cell_0134",-1.72709453105927,-9.69185829162598
"mouse1_lib1.final_cell_0135",4.55517292022705,17.3736686706543
"mouse1_lib1.final_cell_0136",11.2225847244263,-9.44746208190918
"mouse1_lib1.final_cell_0137",-2.09227061271667,-9.73672294616699
"mouse1_lib1.final_cell_0138",1.51202297210693,-7.18672561645508
"mouse1_lib1.final_cell_0139",12.2621746063232,-8.25560760498047
"mouse1_lib1.final_cell_0140",4.4939432144165,17.2744312286377
"mouse1_lib1.final_cell_0141",1.65852832794189,-7.19499540328979
"mouse1_lib1.final_cell_0142",1.85860431194305,-7.22827911376953
"mouse1_lib1.final_cell_0143",1.6958487033844,-7.53661346435547
"mouse1_lib1.final_cell_0144",-2.19012379646301,-9.3562536239624
"mouse1_lib1.final_cell_0145",-18.849681854248,6.93151617050171
"mouse1_lib1.final_cell_0146",11.3163051605225,-9.47476863861084
"mouse1_lib1.final_cell_0147",-5.64188814163208,-2.36378002166748
"mouse1_lib1.final_cell_0148",-5.91621589660645,-2.28120088577271
"mouse1_lib1.final_cell_0149",1.68950283527374,-7.40180253982544
"mouse1_lib1.final_cell_0150",0.464552104473114,-8.3775110244751
"mouse1_lib1.final_cell_0151",3.87366509437561,16.7831192016602
"mouse1_lib1.final_cell_0152",-2.22047066688538,-9.82094764709473
"mouse1_lib1.final_cell_0153",4.51297569274902,17.3140258789062
"mouse1_lib1.final_cell_0154",-1.94025921821594,-10.1623163223267
"mouse1_lib1.final_cell_0155",4.15983724594116,17.0058536529541
"mouse1_lib1.final_cell_0156",11.2427644729614,-8.76503276824951
"mouse1_lib1.final_cell_0157",-18.2803249359131,6.76142263412476
